date,ticker,sector,base_weight,stock_sentiment_z,stock_cvar,sector_median_cvar,risk_scaler,tail_risk_adjusted_sentiment_z,final_weight
2021-01-04,ABBV,Healthcare,0.1622349620349714,1.5605503963734806,0.048950298419048584,0.050661340960935414,1.0349546907199445,1.6150989528316024,0.0
2021-01-04,ABT,Healthcare,0.0,-0.380148935522578,0.055388883010479936,0.050661340960935414,0.9146481786128448,-0.3477025314773377,0.0
2021-01-04,ADBE,Tech,0.0,1.8219010759019565,0.06528038520329248,0.08115080640735532,1.2431116353655096,2.264826425938663,-0.0
2021-01-04,AEP,Utilities,0.0,0.15201026674632243,0.06191336096141554,0.06191336096141554,1.0,0.15201026674632243,0.0
2021-01-04,AMD,Tech,2.070816856436508e-18,-0.49786775074942236,0.08339710397674802,0.08115080640735532,0.9730650410832133,-0.4844577033369937,2.1519681934923937e-18
2021-01-04,AMGN,Healthcare,0.0,-0.2807272352221677,0.051146998932244905,0.050661340960935414,0.9905046633928053,-0.2780616356289261,0.0
2021-01-04,AMT,RealEstate,2.0816328210448296e-18,-0.30970071621447887,0.061412777117085475,0.06377304517543389,1.0384328501192592,-0.32160339742257715,2.068908767929523e-18
2021-01-04,BA,Industrials,1.0295713412540857e-18,-1.237515995357153,0.1280711285059168,0.06806280803359642,0.5314453681139537,-0.657672143699488,3.517002615766666e-18
2021-01-04,CAT,Industrials,2.3683045783617236e-17,-0.4486685308708471,0.06806280803359642,0.06806280803359642,1.0,-0.4486685308708471,7.070077710406066e-17
2021-01-04,CCI,RealEstate,1.67555480106856e-18,0.05798388703615839,0.06377304517543389,0.06377304517543389,1.0,0.05798388703615839,1.1870063297108444e-18
2021-01-04,CMCSA,Comm,0.0,-0.13398166398193712,0.055224066779012745,0.05569195558666732,1.0084725525471874,-0.1351168306703837,0.0
2021-01-04,COP,Energy,0.0,0.016287877326443934,0.10529025949866179,0.10529025949866179,1.0,0.016287877326443934,0.0
2021-01-04,CVX,Energy,0.0,1.6209803274586831,0.08951089980975839,0.10529025949866179,1.1762842259706918,1.9067335897984556,-0.0
2021-01-04,D,Utilities,0.0,-0.1838598254294662,0.07305701289219599,0.06191336096141554,0.8474663623706572,-0.15581501744281376,0.0
2021-01-04,DD,Materials,0.0,-0.11016599529328779,0.07807062737703124,0.07667058087741575,0.9820669239296085,-0.10819038011932286,0.0
2021-01-04,DIS,Consumer,0.0,0.19252223649151015,0.06685769468101276,0.06059181819367557,0.906280398729981,0.17447912925191353,0.0
2021-01-04,DOW,Materials,8.190159177548324e-20,-0.27011522741396954,0.09641242464246097,0.07667058087741575,0.7952354809221267,-0.21480521277693768,7.11311157802117e-20
